186520	83702	80547	18843	21997	26890	35841	71867	28360	67874	34651	8619	8287	75549	43206	67958	85808	53692	62962	17215	46805	102084	42051	35620	17001	54044	33741	39062	23515	48620	5164	70821	53486	100268	18246	63819	54657	43349	7436	69133	11545	93355	30695	7199	58695	51928	5717	26694	75053	33739	59653	42735	9681	33633	4049	22418	19260	75842	9716	11970	37420	48854	89375	53874	38287	63025	64764	76508	11051	53464	47301	73062	79594	23916	5869	11729	8024	143460	39369	12162	19822	117496	91277	53427	85497	947	85349	50398	56369	36563	94301	75366	31394	32426	57290	33135	4890	10598	79197	158402	67255
186458	105809	62338	1156	5723	16639	52538	98586	74254	103576	19589	59427	2976	11298	7758	135259	54509	24208	46196	9248	15840	89523	98954	21700	15709	31136	48171	29775	31685	104042	63306	56369	16561	77467	81332	28488	33950	72642	19524	74302	43480	8016	11545	3051	105666	86558	83853	47418	61014	8691	47719	33148	966	111111	32648	35620	26174	85529	36445	59593	69001	39942	25158	36149	42735	43206	3957	126877	76334	43090	64225	4049	95769	10651	115784	32076	57646	33353	70285	67867	41391	9168	3561	39962	28155	103496	106287	51201	76427	28587	68636	53874	6735	12275	37329	110312	61641	29416	76508	15731	55393
187110	28756	1156	67867	90043	33953	18932	7859	60674	29536	20572	58548	40617	51928	74302	37420	58963	17461	40877	83124	30804	89246	51694	7685	6142	46873	32648	2684	59956	65136	421	24091	126112	31773	74654	65670	14750	39407	53486	79199	73532	36149	52538	56704	53692	38633	18021	55086	77338	28359	9460	15947	56597	5858	3476	9410	95695	8619	742	57730	11909	39904	13984	72642	30523	29046	67751	27054	116807	71697	85349	20071	101314	10192	25109	17086	42303	78353	18524	91328	21447	39610	58772	82221	48124	108814	61496	55630	73739	93420	33360	18260	72989	14193	47301	26694	20265	50730	2910	4755	82548
187170	5649	35381	133179	43765	38203	93057	29307	2885	34579	13011	66483	31079	55563	26663	1545	47165	16850	39175	43181	61072	71592	20474	6515	72912	43106	20271	79999	59419	38667	97042	72574	50843	9791	35851	34381	62914	8778	56631	80066	68659	52084	48349	77716	62911	23916	20553	55966	33135	75513	87830	64764	1132	103635	52713	17697	57258	14661	75799	34049	77338	30770	12016	43349	44880	83495	1258	83136	75053	5298	100388	72815	62500	41743	68434	52521	59059	1408	28445	91059	105691	1009	7477	10017	79502	51611	41465	96452	6582	47894	25129	35333	81332	67867	34345	38374	26765	29183	24738	93589	36693
183302	1545	67109	26608	19822	47874	68636	59059	19124	7498	86558	96526	18093	45693	15018	25845	1202	18689	136832	8425	10651	98104	10699	5327	96577	129284	75029	20055	58368	36640	29179	36149	53577	87830	11479	21605	52315	64611	41310	43914	5377	78491	57730	24279	47772	64957	29748	19857	104176	40666	15472	1529	63152	79294	22470	26663	48151	11633	20572	61014	9405	39947	14905	35274	118496	41878	58548	45317	38613	7116	63360	65367	11051	123224	2910	1009	11810	31180	5298	56395	34579	21651	21971	37181	59427	11909	60086	43354	26803	77716	31865	27597	37329	13850	20534	57344	2375	16134	1392	72989	65147
182506	3590	17498	27608	100273	14112	65875	53598	36640	44453	135259	42908	61414	34434	24566	38203	51928	19773	24530	54522	13011	109218	108814	32434	75146	46088	47719	88427	9300	52599	69600	1215	89069	18909	61659	26663	62404	3983	11944	84972	20534	112470	10585	1180	90626	54290	60382	4540	71897	36616	71958	31394	21376	29307	76937	73663	74752	110312	61614	17746	41816	83465	55393	124590	17955	67149	12892	35396	21018	71134	56266	41418	60425	79199	28364	35882	923	135362	21638	68131	33139	75092	30743	10192	71676	37568	9019	46673	113308	15410	64890	29640	5187	7759	72168	59419	144418	61752	64611	74874	104813
182178	71592	21752	41418	88848	67751	74169	39443	80142	37638	15506	34849	88521	41061	340	77935	89398	3181	63224	26886	20474	71867	18900	5649	59146	29625	133179	67617	60425	88427	61641	34173	45168	62911	15797	44141	74390	106117	2099	41284	116396	97762	88604	34651	64119	52300	8979	36285	7649	80975	44201	48053	69275	44962	105409	18867	95020	57812	1392	24685	43266	52582	53598	18751	99918	83495	2428	6582	8643	138297	18072	28846	100712	112470	25556	1769	68554	83409	30820	42601	34579	11001	68166	22445	2448	21274	55407	52104	6568	51642	22236	63360	11002	2821	75822	40480	58185	22155	20300	51648	37329
186504	43050	27647	57245	108561	36169	68209	19334	74654	38806	21037	43758	10166	71676	27734	9607	88933	22562	35381	80522	16163	33688	12315	78064	40138	2684	4966	25109	97401	37674	75661	33559	65147	32648	85493	28938	67109	68134	49280	48446	35309	73918	421	96577	55040	947	45227	53427	100426	45319	19428	742	73497	97042	24533	83126	1132	30190	60382	13488	29748	135259	40291	130368	45793	49513	13365	46673	24905	63905	27988	16561	7184	14193	5144	20279	58397	96526	63068	72039	11051	29929	19288	35333	22233	63757	72118	79594	100470	58185	59936	11827	43703	63560	125103	46188	19620	51753	6279	98143	45554
182865	6843	37002	4618	87237	64390	35665	105809	22547	95695	51192	57646	64890	47931	5282	23257	37952	1215	77004	85549	81393	94482	5377	65692	41716	9248	582	56717	5723	59427	59059	41233	46278	50843	65842	76937	28301	43765	30770	8439	49837	34460	99918	72442	89523	13263	59724	6466	46188	50267	27054	62574	70856	59576	35736	38416	36640	10950	74169	30236	129532	57407	38881	90043	101662	405	46531	63224	106606	56525	63397	35274	4024	79070	34685	17461	79313	17539	56369	16145	57344	19334	340	59509	31529	71897	133179	45793	1529	87099	67867	47766	58294	47884	43786	68209	120517	20298	21393	104824	3099
186342	40617	33139	70789	79594	63360	40014	61761	48302	15168	12612	31298	65147	90043	27597	302	30837	7436	133547	44201	64119	3292	10393	6036	14131	106081	92159	34106	29929	51648	42968	22574	12016	106873	30541	41684	53700	1776	26661	55350	26886	36309	1278	67766	62391	73413	72170	106153	549	2602	58209	8654	18932	64594	109218	55306	112553	54749	20265	48171	112470	78124	24626	9269	100470	27279	11659	18830	65405	100371	123224	52916	126877	64510	12874	107986	82135	36247	80966	52935	48729	37329	80616	2309	31748	23512	6843	7157	41454	86705	32824	13198	31773	21179	33530	2638	53890	26295	30840	57056	17221
